cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#331#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#332#,0.0,0.0,0.0,0.0,0.0,0.0,271157.7409379695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.36072176679664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.36072176679664,0.0,474.36072176679664
#333#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.575313882896628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016055761830702968,0.0,-0.006045882847271292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005330792999398873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3939140889578125e-06,0.0,-0.006045882847271292,0.0,0.005330792999398873,-0.00604827676136025,-0.0007174837619613773
#334#,0.0,0.0,0.0,0.0,0.0,129459.34608681696,440010.507395945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009663386327694002,0.0,0.0,0.0,-1.2279502328910832e-05,0.0,0.0,-309311.4892892461,0.0,-0.00847745059535177,0.0,0.0,0.0,0.0,0.0,0.0,6.097624527637879,769.7501135365444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009663386327694002,0.0,0.0,0.0,-2.1481642263024018e-08,0.0,0.0,-461.1834305302659,0.0,-0.00847745059535177,0.0,775.8477380641823,-461.20157138867063,314.64616667551167
#335#,0.0,0.0,0.0,0.0,1923837.7295030374,1021511.8608460549,0.0,0.0,120062284.28149514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2224148313698,48.113913489033166,0.0,0.0,29.161195849198233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.4975241696012,0.0,155.4975241696012
#336#,0.0,0.0,0.0,0.0,0.0,1.1454689322451619,0.0,0.0,0.0,1.011512118626614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004423395758671396,0.0,0.0,0.0,0.0,0.0,0.0,5.395237708231037e-05,0.0,0.0,0.0,0.0015081645688722815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004423395758671396,0.0,0.001562116945954592,-0.0004423395758671396,0.0011197773700874522
#337#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#338#,0.0,0.0,0.0,0.0,0.0,0.006628357680789852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3416333899215997e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.1220022033200177e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3416333899215997e-06,0.0,3.1220022033200177e-07,-1.3416333899215997e-06,-1.0294331695895978e-06
#339#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8872987743410225e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5635104832731017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2526270935597421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023311941305601946,0.0,0.0,0.0,0.2526270935597421,-0.0023311941305601946,0.2502958994291819
#340#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.9765649108503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09053127910976926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1684480582820778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09053127910976926,0.0,0.0,0.1684480582820778,-0.09053127910976926,0.07791677917230853
